customer_id,name,age,gender,marital_status,state,occupation,industry,annual_income_lakh,cibil_score,cibil_category,existing_loan_count,customer_since,branch_id
CUST00036,Customer_36,26,Other,Widowed,Punjab,Retired,Education,29.65,867,Excellent,0,2016-04-17,BR0017
CUST00037,Customer_37,33,Other,Widowed,Rajasthan,Freelancer,Education,5.37,783,Very Good,3,2021-10-19,BR0033
CUST00038,Customer_38,29,Male,Widowed,Maharashtra,Retired,Construction,17.15,723,Good,1,2019-01-31,BR0028
CUST00039,Customer_39,26,Other,Single,Haryana,Business Owner,Construction,50.76,871,Excellent,2,2019-07-31,BR0021
CUST00040,Customer_40,47,Female,Widowed,Punjab,Freelancer,Healthcare,12.28,820,Very Good,4,2021-05-20,BR0020
CUST00041,Customer_41,47,Male,Widowed,Madhya Pradesh,Retired,Hospitality,25.98,750,Very Good,2,2020-03-19,BR0029
CUST00042,Customer_42,50,Other,Married,Punjab,Salaried,Real Estate,39.12,815,Very Good,4,2021-12-11,BR0022
CUST00043,Customer_43,27,Female,Married,Madhya Pradesh,Self-Employed,Healthcare,20.63,846,Very Good,0,2015-07-09,BR0016
CUST00044,Customer_44,52,Female,Married,Haryana,Freelancer,FMCG,8.05,848,Very Good,3,2019-06-25,BR0016
CUST00045,Customer_45,31,Male,Widowed,Tamil Nadu,Self-Employed,Construction,71.67,750,Very Good,3,2015-07-25,BR0036
CUST00046,Customer_46,37,Female,Divorced,Madhya Pradesh,Government Employee,Hospitality,37.82,857,Excellent,4,2019-10-14,BR0036
CUST00047,Customer_47,50,Female,Divorced,Madhya Pradesh,Self-Employed,Real Estate,69.25,897,Excellent,4,2020-06-07,BR0041
CUST00048,Customer_48,37,Male,Divorced,Rajasthan,Business Owner,Construction,57.77,659,Good,0,2016-07-20,BR0010
CUST00049,Customer_49,36,Male,Widowed,Uttar Pradesh,Business Owner,Construction,57.22,669,Good,3,2019-08-31,BR0004
CUST00050,Customer_50,35,Other,Single,Andhra Pradesh,Retired,FMCG,72.62,874,Excellent,3,2015-01-25,BR0023
CUST00051,Customer_51,41,Other,Married,West Bengal,Self-Employed,Real Estate,44.17,803,Very Good,3,2020-06-12,BR0002
CUST00052,Customer_52,46,Other,Married,Andhra Pradesh,Government Employee,Healthcare,64.34,736,Good,4,2020-12-27,BR0002
CUST00053,Customer_53,47,Other,Widowed,Karnataka,Government Employee,Healthcare,4.5,834,Very Good,0,2017-12-01,BR0025
CUST00054,Customer_54,42,Female,Divorced,Madhya Pradesh,Government Employee,Real Estate,28.59,691,Good,0,2020-04-10,BR0002
CUST00055,Customer_55,56,Other,Single,Madhya Pradesh,Freelancer,IT,29.56,543,Poor,0,2017-10-09,BR0013
CUST00056,Customer_56,23,Other,Single,Kerala,Self-Employed,Banking,12.19,780,Very Good,2,2019-02-19,BR0011
CUST00057,Customer_57,60,Male,Divorced,Delhi,Retired,IT,58.14,845,Very Good,2,2021-06-16,BR0044
CUST00058,Customer_58,46,Other,Married,Delhi,Freelancer,Real Estate,17.79,741,Good,4,2016-05-10,BR0037
CUST00059,Customer_59,24,Male,Divorced,Maharashtra,Government Employee,Banking,53.73,704,Good,0,2019-11-11,BR0024
CUST00060,Customer_60,62,Female,Married,Haryana,Retired,Real Estate,57.29,879,Excellent,4,2021-01-13,BR0050
CUST00061,Customer_61,52,Female,Married,Andhra Pradesh,Salaried,Real Estate,48.38,743,Good,3,2017-09-25,BR0049
CUST00062,Customer_62,51,Male,Widowed,Andhra Pradesh,Business Owner,Healthcare,31.81,835,Very Good,3,2017-05-18,BR0023
CUST00063,Customer_63,38,Female,Single,Telangana,Self-Employed,Manufacturing,56.81,726,Good,1,2019-07-23,BR0032
CUST00064,Customer_64,57,Other,Widowed,West Bengal,Salaried,Manufacturing,39.34,838,Very Good,2,2017-06-26,BR0026
CUST00065,Customer_65,37,Other,Divorced,Uttar Pradesh,Freelancer,Construction,31.04,724,Good,2,2018-12-12,BR0045
CUST00066,Customer_66,51,Other,Married,Rajasthan,Salaried,Construction,20.29,682,Good,1,2017-02-23,BR0014
CUST00067,Customer_67,52,Other,Divorced,Delhi,Self-Employed,Real Estate,78.18,725,Good,1,2019-01-18,BR0012
CUST00068,Customer_68,41,Male,Single,Telangana,Business Owner,Healthcare,12.22,436,Poor,3,2016-02-25,BR0001
CUST00069,Customer_69,58,Male,Single,Gujarat,Government Employee,Manufacturing,36.58,711,Good,0,2019-06-30,BR0032
CUST00070,Customer_70,26,Male,Divorced,Delhi,Self-Employed,Manufacturing,6.56,837,Very Good,4,2019-09-01,BR0039
CUST00071,Customer_71,60,Female,Widowed,Bihar,Government Employee,Real Estate,62.59,778,Very Good,4,2019-10-23,BR0020
CUST00072,Customer_72,58,Male,Married,Punjab,Self-Employed,Real Estate,76.9,828,Very Good,0,2016-10-05,BR0016
CUST00073,Customer_73,33,Female,Widowed,Gujarat,Salaried,Retail,2.61,770,Very Good,2,2018-03-04,BR0045
CUST00074,Customer_74,51,Other,Married,Uttar Pradesh,Salaried,Construction,74.1,359,Poor,1,2016-09-02,BR0018
CUST00075,Customer_75,31,Other,Divorced,West Bengal,Salaried,Banking,63.91,342,Poor,2,2019-07-07,BR0018
CUST00076,Customer_76,54,Male,Widowed,Haryana,Business Owner,Hospitality,8.64,806,Very Good,2,2015-04-16,BR0006
CUST00077,Customer_77,36,Male,Divorced,Kerala,Salaried,Healthcare,47.96,886,Excellent,3,2020-10-26,BR0042
CUST00078,Customer_78,50,Female,Widowed,Delhi,Government Employee,Education,79.76,861,Excellent,3,2018-09-27,BR0021
CUST00079,Customer_79,64,Other,Widowed,Gujarat,Freelancer,FMCG,27.99,570,Fair,4,2015-05-31,BR0030
CUST00080,Customer_80,27,Female,Single,Punjab,Retired,Banking,11.4,691,Good,3,2015-08-11,BR0013
CUST00081,Customer_81,55,Female,Single,Tamil Nadu,Business Owner,Construction,41.08,746,Good,1,2018-03-25,BR0029
CUST00082,Customer_82,53,Male,Married,Gujarat,Retired,IT,49.65,630,Fair,4,2019-07-30,BR0006
CUST00083,Customer_83,36,Male,Married,West Bengal,Freelancer,Real Estate,38.21,857,Excellent,4,2018-01-24,BR0027
CUST00084,Customer_84,52,Male,Widowed,Tamil Nadu,Retired,Construction,37.85,865,Excellent,1,2015-10-13,BR0018
CUST00085,Customer_85,48,Male,Divorced,Haryana,Business Owner,Hospitality,23.13,714,Good,4,2020-06-28,BR0010
CUST00086,Customer_86,50,Other,Widowed,West Bengal,Business Owner,Retail,28.2,794,Very Good,1,2021-05-31,BR0025
CUST00087,Customer_87,36,Other,Widowed,Haryana,Government Employee,FMCG,5.79,876,Excellent,1,2020-07-21,BR0003
CUST00088,Customer_88,30,Male,Widowed,Delhi,Retired,Banking,28.16,825,Very Good,0,2016-08-13,BR0027
CUST00089,Customer_89,63,Female,Divorced,Kerala,Freelancer,FMCG,38.83,854,Excellent,0,2018-09-07,BR0044
CUST00090,Customer_90,56,Female,Single,Kerala,Salaried,Retail,51.04,690,Good,2,2017-07-20,BR0048
CUST00091,Customer_91,27,Other,Single,West Bengal,Self-Employed,Real Estate,61.4,662,Good,0,2015-07-08,BR0021
CUST00092,Customer_92,25,Male,Widowed,Kerala,Freelancer,Healthcare,35.82,697,Good,1,2016-12-18,BR0006
CUST00093,Customer_93,61,Female,Married,Tamil Nadu,Government Employee,Real Estate,55.41,889,Excellent,3,2017-11-11,BR0043
CUST00094,Customer_94,22,Other,Married,Delhi,Government Employee,Education,72.33,879,Excellent,4,2018-05-10,BR0041
CUST00095,Customer_95,49,Male,Widowed,Andhra Pradesh,Government Employee,Manufacturing,68.0,808,Very Good,1,2019-04-12,BR0037
CUST00096,Customer_96,44,Other,Widowed,Gujarat,Salaried,Hospitality,25.31,839,Very Good,0,2021-10-19,BR0048
CUST00097,Customer_97,53,Male,Divorced,Tamil Nadu,Freelancer,Retail,62.6,868,Excellent,4,2017-10-23,BR0044
CUST00098,Customer_98,64,Other,Single,Gujarat,Government Employee,IT,51.15,767,Very Good,4,2019-02-03,BR0047
CUST00099,Customer_99,30,Female,Married,Tamil Nadu,Self-Employed,Construction,27.75,587,Fair,2,2020-12-14,BR0033
CUST00100,Customer_100,39,Female,Divorced,Haryana,Business Owner,Manufacturing,73.33,866,Excellent,3,2015-11-05,BR0010
CUST00101,Customer_101,36,Female,Divorced,Delhi,Government Employee,IT,54.73,896,Excellent,2,2021-01-06,BR0008
CUST00102,Customer_102,51,Other,Widowed,Andhra Pradesh,Freelancer,Education,54.57,745,Good,0,2017-08-15,BR0031
CUST00103,Customer_103,23,Other,Married,Punjab,Salaried,Banking,27.85,821,Very Good,2,2019-07-31,BR0008
CUST00104,Customer_104,30,Female,Single,Delhi,Self-Employed,Construction,26.02,309,Poor,1,2019-05-11,BR0030
CUST00105,Customer_105,45,Other,Widowed,Kerala,Freelancer,Healthcare,56.45,845,Very Good,3,2016-02-10,BR0032
CUST00106,Customer_106,61,Female,Married,West Bengal,Government Employee,Retail,4.94,685,Good,2,2016-02-11,BR0044
CUST00107,Customer_107,45,Female,Divorced,Tamil Nadu,Salaried,Banking,30.23,832,Very Good,0,2017-05-18,BR0042
CUST00108,Customer_108,62,Female,Married,Karnataka,Retired,Retail,6.32,752,Very Good,0,2021-03-20,BR0014
CUST00109,Customer_109,59,Male,Single,Gujarat,Self-Employed,Healthcare,27.9,679,Good,4,2017-10-23,BR0012
CUST00110,Customer_110,29,Female,Married,Kerala,Business Owner,IT,12.63,753,Very Good,1,2017-12-22,BR0004
CUST00111,Customer_111,30,Male,Widowed,West Bengal,Business Owner,Construction,11.22,817,Very Good,4,2016-03-22,BR0029
CUST00112,Customer_112,54,Other,Divorced,West Bengal,Freelancer,IT,5.77,728,Good,0,2020-05-15,BR0026
CUST00113,Customer_113,49,Female,Single,Bihar,Salaried,Education,57.68,812,Very Good,4,2016-08-30,BR0005
CUST00114,Customer_114,30,Other,Divorced,Uttar Pradesh,Retired,Construction,47.82,731,Good,2,2020-02-02,BR0033
CUST00115,Customer_115,60,Other,Married,Uttar Pradesh,Government Employee,Retail,11.28,739,Good,3,2018-10-20,BR0030
CUST00116,Customer_116,47,Female,Divorced,Rajasthan,Self-Employed,Banking,26.65,662,Good,0,2016-01-09,BR0006
CUST00117,Customer_117,27,Male,Single,Kerala,Retired,Construction,59.73,745,Good,2,2016-05-15,BR0027
CUST00118,Customer_118,44,Other,Single,Gujarat,Retired,Real Estate,35.22,898,Excellent,2,2016-02-29,BR0037
CUST00119,Customer_119,54,Male,Divorced,Andhra Pradesh,Retired,Education,39.82,734,Good,0,2018-02-15,BR0037
CUST00120,Customer_120,36,Other,Single,Kerala,Freelancer,Real Estate,78.02,821,Very Good,0,2017-01-08,BR0018
CUST00121,Customer_121,41,Male,Widowed,Delhi,Self-Employed,IT,2.87,872,Excellent,0,2020-12-12,BR0014
CUST00122,Customer_122,46,Female,Divorced,Madhya Pradesh,Retired,Hospitality,14.61,693,Good,0,2015-08-04,BR0010
CUST00123,Customer_123,32,Female,Widowed,Punjab,Government Employee,Banking,54.7,756,Very Good,4,2019-12-16,BR0027
CUST00124,Customer_124,39,Female,Single,Gujarat,Freelancer,Hospitality,11.23,715,Good,3,2020-11-28,BR0043
CUST00125,Customer_125,41,Male,Single,Tamil Nadu,Business Owner,Retail,78.79,401,Poor,1,2017-11-12,BR0019
CUST00126,Customer_126,42,Male,Married,Uttar Pradesh,Retired,Retail,60.37,613,Fair,4,2021-04-07,BR0043
CUST00127,Customer_127,44,Female,Single,West Bengal,Salaried,Education,59.98,520,Poor,4,2019-10-25,BR0037
CUST00128,Customer_128,47,Female,Single,Rajasthan,Self-Employed,Hospitality,24.87,803,Very Good,3,2019-01-22,BR0006
CUST00129,Customer_129,49,Female,Single,Uttar Pradesh,Business Owner,Education,36.21,865,Excellent,1,2018-09-26,BR0050
CUST00130,Customer_130,32,Other,Married,Bihar,Business Owner,Education,11.25,462,Poor,1,2017-08-25,BR0007
CUST00131,Customer_131,31,Other,Single,Karnataka,Freelancer,Banking,49.15,672,Good,3,2021-04-28,BR0049
CUST00132,Customer_132,59,Other,Divorced,Andhra Pradesh,Freelancer,Education,52.3,722,Good,1,2019-12-07,BR0005
CUST00133,Customer_133,52,Other,Single,Rajasthan,Retired,Manufacturing,64.2,688,Good,2,2020-03-06,BR0029
CUST00134,Customer_134,24,Other,Single,Kerala,Retired,Construction,24.68,512,Poor,3,2020-03-10,BR0038
CUST00135,Customer_135,57,Female,Married,Rajasthan,Retired,Banking,71.92,897,Excellent,4,2016-09-09,BR0004
CUST00136,Customer_136,50,Male,Married,Maharashtra,Self-Employed,Banking,78.63,593,Fair,3,2020-11-16,BR0034
CUST00137,Customer_137,61,Female,Widowed,Madhya Pradesh,Business Owner,Hospitality,73.63,597,Fair,0,2018-10-02,BR0005
CUST00138,Customer_138,43,Female,Married,Rajasthan,Salaried,Hospitality,32.4,636,Fair,1,2018-12-03,BR0020
CUST00139,Customer_139,63,Other,Single,Gujarat,Retired,FMCG,12.41,800,Very Good,2,2016-06-07,BR0043
CUST00140,Customer_140,65,Female,Divorced,Maharashtra,Business Owner,Real Estate,52.53,855,Excellent,1,2017-05-27,BR0022
CUST00141,Customer_141,53,Female,Single,Telangana,Retired,Construction,14.42,567,Fair,0,2018-10-11,BR0050
CUST00142,Customer_142,61,Male,Married,Haryana,Government Employee,IT,14.37,598,Fair,3,2019-02-01,BR0044
CUST00143,Customer_143,37,Other,Widowed,Tamil Nadu,Retired,Retail,24.51,889,Excellent,2,2020-04-05,BR0013
CUST00144,Customer_144,45,Female,Divorced,Madhya Pradesh,Government Employee,Construction,78.79,823,Very Good,4,2019-09-11,BR0011
CUST00145,Customer_145,34,Male,Widowed,Andhra Pradesh,Business Owner,Construction,70.14,767,Very Good,0,2020-10-14,BR0008
CUST00146,Customer_146,40,Other,Married,Andhra Pradesh,Government Employee,Manufacturing,23.57,570,Fair,1,2020-01-22,BR0023
CUST00147,Customer_147,23,Male,Widowed,Delhi,Business Owner,Retail,41.36,700,Good,0,2018-07-29,BR0007
CUST00148,Customer_148,63,Female,Widowed,Haryana,Self-Employed,Banking,13.08,668,Good,3,2021-11-25,BR0001
CUST00149,Customer_149,27,Other,Widowed,Delhi,Business Owner,Retail,67.19,355,Poor,2,2016-05-14,BR0004
CUST00150,Customer_150,37,Male,Widowed,Kerala,Retired,IT,37.87,729,Good,4,2021-06-13,BR0016
CUST00151,Customer_151,31,Male,Widowed,Karnataka,Freelancer,Manufacturing,50.11,650,Good,4,2019-01-17,BR0005
CUST00152,Customer_152,55,Female,Widowed,Maharashtra,Freelancer,FMCG,45.4,814,Very Good,2,2017-11-04,BR0048
CUST00153,Customer_153,23,Other,Single,Madhya Pradesh,Retired,Education,29.16,658,Good,1,2015-07-01,BR0023
CUST00154,Customer_154,56,Other,Widowed,Haryana,Government Employee,Healthcare,15.99,732,Good,1,2015-09-16,BR0046
CUST00155,Customer_155,51,Male,Single,Rajasthan,Business Owner,Construction,5.8,351,Poor,3,2021-02-02,BR0031
CUST00156,Customer_156,38,Female,Single,Andhra Pradesh,Freelancer,Education,17.23,465,Poor,2,2016-05-24,BR0024
CUST00157,Customer_157,49,Female,Divorced,Karnataka,Government Employee,Banking,36.52,897,Excellent,2,2020-10-27,BR0018
CUST00158,Customer_158,27,Male,Divorced,Rajasthan,Salaried,Manufacturing,35.82,760,Very Good,2,2018-04-25,BR0020
CUST00159,Customer_159,50,Female,Divorced,West Bengal,Salaried,Education,15.33,804,Very Good,4,2019-11-17,BR0018
CUST00160,Customer_160,62,Other,Widowed,Rajasthan,Retired,Healthcare,8.22,853,Excellent,0,2016-08-07,BR0039
CUST00161,Customer_161,65,Male,Divorced,Rajasthan,Government Employee,Hospitality,12.2,754,Very Good,0,2021-10-14,BR0010
CUST00162,Customer_162,65,Male,Married,Telangana,Business Owner,FMCG,31.27,697,Good,2,2018-02-15,BR0016
CUST00163,Customer_163,29,Female,Single,Gujarat,Business Owner,Banking,41.13,347,Poor,1,2021-11-11,BR0019
CUST00164,Customer_164,53,Female,Married,Bihar,Freelancer,Banking,68.58,667,Good,0,2018-08-02,BR0043
CUST00165,Customer_165,44,Female,Married,Haryana,Freelancer,Healthcare,44.47,820,Very Good,2,2020-09-14,BR0015
CUST00166,Customer_166,29,Female,Single,Rajasthan,Retired,Hospitality,13.18,900,Excellent,2,2020-03-29,BR0036
CUST00167,Customer_167,30,Female,Widowed,Telangana,Government Employee,FMCG,7.5,761,Very Good,4,2015-10-30,BR0009
CUST00168,Customer_168,42,Other,Divorced,Karnataka,Retired,Hospitality,38.55,807,Very Good,1,2016-06-12,BR0028
CUST00169,Customer_169,54,Other,Married,Gujarat,Self-Employed,Healthcare,66.92,853,Excellent,2,2017-07-12,BR0023
CUST00170,Customer_170,55,Other,Divorced,Karnataka,Freelancer,Real Estate,21.85,855,Excellent,4,2020-12-25,BR0006
CUST00171,Customer_171,54,Male,Married,Punjab,Retired,Hospitality,75.47,825,Very Good,2,2021-04-27,BR0003
CUST00172,Customer_172,23,Female,Married,Madhya Pradesh,Retired,FMCG,62.23,632,Fair,4,2015-05-05,BR0032
CUST00173,Customer_173,62,Female,Married,Madhya Pradesh,Freelancer,FMCG,76.64,832,Very Good,2,2020-02-01,BR0005
CUST00174,Customer_174,25,Male,Divorced,Kerala,Self-Employed,Education,39.98,603,Fair,2,2018-11-15,BR0026
CUST00175,Customer_175,30,Female,Married,West Bengal,Salaried,Real Estate,45.98,815,Very Good,3,2017-10-12,BR0010
CUST00176,Customer_176,28,Other,Widowed,Tamil Nadu,Self-Employed,Education,32.21,542,Poor,4,2018-07-04,BR0013
CUST00177,Customer_177,32,Female,Widowed,Maharashtra,Salaried,FMCG,38.62,715,Good,4,2020-02-16,BR0016
CUST00178,Customer_178,35,Female,Widowed,Gujarat,Retired,IT,6.32,756,Very Good,0,2019-11-01,BR0009
CUST00179,Customer_179,38,Male,Widowed,Maharashtra,Retired,Construction,33.69,847,Very Good,1,2019-01-24,BR0036
CUST00180,Customer_180,40,Other,Divorced,Andhra Pradesh,Retired,Hospitality,37.35,429,Poor,0,2016-06-11,BR0007
CUST00181,Customer_181,47,Female,Married,Tamil Nadu,Retired,Construction,45.69,693,Good,3,2020-08-10,BR0003
CUST00182,Customer_182,24,Female,Widowed,Karnataka,Retired,Construction,28.24,482,Poor,1,2018-09-05,BR0040
CUST00183,Customer_183,42,Female,Divorced,Telangana,Retired,Construction,59.77,628,Fair,3,2021-04-24,BR0020
CUST00184,Customer_184,52,Male,Widowed,Kerala,Business Owner,IT,28.1,797,Very Good,4,2020-04-27,BR0017
CUST00185,Customer_185,63,Male,Single,Kerala,Government Employee,Healthcare,47.29,849,Very Good,4,2021-12-13,BR0050
CUST00186,Customer_186,46,Other,Single,Tamil Nadu,Salaried,Banking,21.19,637,Fair,2,2019-09-12,BR0010
CUST00187,Customer_187,48,Other,Widowed,Andhra Pradesh,Freelancer,IT,41.34,802,Very Good,1,2020-10-25,BR0014
CUST00188,Customer_188,57,Female,Divorced,Karnataka,Government Employee,Construction,39.52,734,Good,2,2021-02-15,BR0023
CUST00189,Customer_189,65,Other,Divorced,Kerala,Government Employee,Retail,55.23,842,Very Good,1,2018-02-16,BR0036
CUST00190,Customer_190,41,Other,Married,Haryana,Freelancer,Banking,62.24,688,Good,2,2020-05-19,BR0023
CUST00191,Customer_191,57,Female,Single,Kerala,Freelancer,Construction,58.4,900,Excellent,3,2019-06-05,BR0023
CUST00192,Customer_192,31,Male,Divorced,Bihar,Government Employee,Real Estate,76.53,686,Good,3,2017-05-26,BR0013
CUST00193,Customer_193,56,Male,Single,Kerala,Freelancer,Hospitality,56.42,721,Good,1,2017-09-20,BR0004
CUST00194,Customer_194,64,Male,Single,Uttar Pradesh,Business Owner,Banking,51.9,864,Excellent,0,2016-07-17,BR0001
CUST00195,Customer_195,57,Female,Widowed,Punjab,Self-Employed,Real Estate,33.98,860,Excellent,2,2018-03-15,BR0042
CUST00196,Customer_196,25,Male,Single,Bihar,Self-Employed,FMCG,53.02,855,Excellent,1,2015-05-29,BR0026
CUST00197,Customer_197,53,Female,Single,Maharashtra,Business Owner,Hospitality,77.06,645,Fair,4,2016-03-15,BR0022
CUST00198,Customer_198,40,Female,Married,Andhra Pradesh,Retired,Banking,44.56,732,Good,2,2017-02-28,BR0008
CUST00199,Customer_199,43,Other,Married,Maharashtra,Freelancer,Education,52.71,608,Fair,2,2021-05-14,BR0044
CUST00200,Customer_200,34,Female,Divorced,Delhi,Government Employee,Manufacturing,72.01,631,Fair,1,2016-07-29,BR0031
CUST00201,Customer_201,42,Male,Widowed,Madhya Pradesh,Business Owner,Education,22.64,850,Excellent,2,2021-07-13,BR0047
CUST00202,Customer_202,58,Male,Single,Punjab,Salaried,Banking,30.3,467,Poor,2,2016-10-16,BR0026
CUST00203,Customer_203,65,Other,Single,Punjab,Business Owner,Education,62.14,840,Very Good,4,2017-06-23,BR0015
CUST00204,Customer_204,30,Other,Divorced,Uttar Pradesh,Freelancer,Construction,60.42,708,Good,3,2021-01-10,BR0043
CUST00205,Customer_205,35,Male,Widowed,Telangana,Freelancer,Education,60.97,837,Very Good,0,2021-04-29,BR0008
CUST00206,Customer_206,25,Other,Married,Karnataka,Business Owner,Construction,18.09,882,Excellent,3,2016-04-21,BR0044
CUST00207,Customer_207,35,Other,Widowed,Madhya Pradesh,Salaried,Banking,9.46,812,Very Good,1,2020-10-03,BR0027
CUST00208,Customer_208,51,Female,Single,Uttar Pradesh,Business Owner,IT,38.28,821,Very Good,1,2021-06-26,BR0005
CUST00209,Customer_209,24,Male,Single,Bihar,Government Employee,IT,7.35,739,Good,2,2019-08-02,BR0012
CUST00210,Customer_210,30,Female,Divorced,Bihar,Government Employee,Banking,52.52,843,Very Good,3,2019-03-19,BR0006
CUST00211,Customer_211,65,Female,Single,Karnataka,Retired,FMCG,12.72,884,Excellent,4,2016-06-05,BR0047
CUST00212,Customer_212,36,Female,Widowed,Punjab,Freelancer,Construction,4.16,898,Excellent,3,2020-12-18,BR0025
CUST00213,Customer_213,36,Male,Single,Maharashtra,Freelancer,FMCG,14.44,694,Good,4,2015-03-06,BR0016
CUST00214,Customer_214,35,Other,Single,Tamil Nadu,Freelancer,IT,5.01,452,Poor,3,2019-12-03,BR0015
CUST00215,Customer_215,56,Other,Divorced,Tamil Nadu,Freelancer,Hospitality,6.78,749,Good,2,2021-06-23,BR0039
CUST00216,Customer_216,65,Male,Married,Uttar Pradesh,Business Owner,Real Estate,25.82,780,Very Good,0,2021-03-30,BR0038
CUST00217,Customer_217,33,Male,Divorced,Punjab,Freelancer,FMCG,45.53,804,Very Good,4,2018-07-29,BR0045
CUST00218,Customer_218,48,Other,Widowed,Tamil Nadu,Self-Employed,Real Estate,31.61,688,Good,1,2020-03-11,BR0004
CUST00219,Customer_219,57,Male,Widowed,Tamil Nadu,Business Owner,Retail,45.65,703,Good,2,2015-11-20,BR0029
CUST00220,Customer_220,45,Male,Divorced,Uttar Pradesh,Freelancer,Hospitality,66.76,642,Fair,4,2015-06-11,BR0005
CUST00221,Customer_221,34,Other,Married,West Bengal,Self-Employed,Education,58.61,825,Very Good,2,2015-03-04,BR0014
CUST00222,Customer_222,34,Female,Married,Haryana,Retired,Retail,60.36,857,Excellent,3,2017-09-07,BR0036
