loan_id,customer_id,loan_type,loan_amount_lakh,interest_rate_pct,tenure_months,emi_amount,disbursement_date,branch_id,loan_status,emi_missed_count,days_past_due,is_npa,collateral_type,processing_fee_pct
LOAN000043,CUST09361,Home Loan,56.86,10.95,36,186017.74,2021-11-04,BR0028,Active,0,0,0,FD,1.81
LOAN000044,CUST05258,Auto Loan,14.51,16.21,36,51163.42,2024-08-27,BR0042,Active,0,0,0,Vehicle,0.9
LOAN000045,CUST09143,Business Loan,35.09,11.61,180,41237.5,2020-10-18,BR0024,Active,0,0,0,None,0.96
LOAN000046,CUST01592,Auto Loan,11.7,13.69,84,21725.94,2023-04-14,BR0045,Closed,0,0,0,Gold,0.6
LOAN000047,CUST06048,Gold Loan,5.25,15.5,180,7528.45,2020-11-23,BR0045,Restructured,0,0,0,FD,0.53
LOAN000048,CUST07624,Gold Loan,1.26,12.51,36,4215.76,2024-05-15,BR0006,Active,0,0,0,Gold,1.04
LOAN000049,CUST09364,Home Loan,68.34,13.89,240,84436.78,2023-08-23,BR0018,Restructured,2,38,0,FD,2.32
LOAN000050,CUST04653,Education Loan,7.37,9.28,180,7598.4,2023-04-14,BR0046,Active,0,0,0,None,1.76
LOAN000051,CUST02887,Personal Loan,8.13,7.65,240,6624.24,2020-04-03,BR0040,Active,1,22,0,Property,1.12
LOAN000052,CUST05710,Education Loan,11.94,15.17,84,23154.35,2021-03-01,BR0047,Restructured,0,0,0,Gold,1.51
LOAN000053,CUST05569,Home Loan,28.88,15.53,12,261388.82,2024-09-28,BR0022,Restructured,2,80,0,Vehicle,1.39
LOAN000054,CUST05936,Business Loan,22.78,11.32,240,24011.35,2022-03-08,BR0007,Active,0,0,0,Vehicle,1.86
LOAN000055,CUST09893,Gold Loan,7.53,17.62,84,15659.16,2023-08-26,BR0025,NPA,3,105,1,FD,1.98
LOAN000056,CUST02775,Education Loan,3.75,13.37,180,4836.32,2021-02-10,BR0006,Restructured,0,0,0,Property,2.3
LOAN000057,CUST03917,Home Loan,55.29,8.94,60,114612.01,2021-05-27,BR0033,Active,1,40,0,None,2.01
LOAN000058,CUST03688,Gold Loan,5.06,13.3,120,7644.92,2023-10-04,BR0043,Restructured,0,0,0,FD,1.72
LOAN000059,CUST00694,Home Loan,68.86,14.45,12,619733.03,2021-02-01,BR0042,Active,1,38,0,None,2.39
LOAN000060,CUST06196,Education Loan,9.26,16.01,48,26247.84,2024-06-10,BR0011,NPA,6,108,1,FD,1.15
LOAN000061,CUST07024,Personal Loan,3.56,9.41,240,3297.49,2024-12-21,BR0021,Closed,2,36,0,FD,1.99
LOAN000062,CUST05434,Personal Loan,6.66,14.26,24,32058.44,2021-01-21,BR0014,Active,0,0,0,FD,0.55
LOAN000063,CUST05006,Business Loan,58.16,15.31,180,82638.4,2021-12-29,BR0029,Active,0,0,0,Vehicle,1.93
LOAN000064,CUST06761,Business Loan,18.55,10.97,240,19109.24,2020-11-09,BR0010,Active,2,44,0,Vehicle,2.26
LOAN000065,CUST06681,Business Loan,19.61,17.02,240,28793.79,2021-09-15,BR0003,Closed,0,0,0,Gold,2.18
LOAN000066,CUST07755,Education Loan,10.44,8.43,12,91023.62,2021-03-03,BR0009,Restructured,0,0,0,FD,1.99
LOAN000067,CUST00945,Personal Loan,7.05,8.56,12,61509.54,2021-02-12,BR0010,Active,0,0,0,None,0.6
LOAN000068,CUST02941,Auto Loan,8.67,15.73,12,78552.92,2020-05-17,BR0015,NPA,3,57,1,Vehicle,0.93
LOAN000069,CUST05824,Gold Loan,2.25,9.96,12,19776.89,2022-04-21,BR0025,NPA,3,99,1,None,0.99
LOAN000070,CUST08348,Gold Loan,4.76,11.77,24,22355.88,2024-03-24,BR0001,Active,0,0,0,Gold,2.13
LOAN000071,CUST08576,Home Loan,34.23,9.52,240,31951.57,2021-09-20,BR0024,Active,0,0,0,Vehicle,1.6
LOAN000072,CUST03461,Personal Loan,3.63,14.67,180,4998.71,2021-08-19,BR0042,Active,2,48,0,Gold,1.66
LOAN000073,CUST06078,Education Loan,4.94,8.36,60,10101.87,2023-12-25,BR0005,Active,0,0,0,Gold,1.42
LOAN000074,CUST08998,Business Loan,68.87,16.87,120,119127.72,2023-12-11,BR0047,Active,0,0,0,Property,0.97
LOAN000075,CUST01613,Auto Loan,7.83,8.76,60,16162.74,2020-04-09,BR0023,Restructured,0,0,0,Gold,1.56
LOAN000076,CUST00337,Business Loan,21.65,11.85,120,30874.02,2024-02-03,BR0017,Active,0,0,0,None,1.69
LOAN000077,CUST06387,Auto Loan,12.86,17.56,180,20304.21,2021-04-07,BR0031,NPA,6,90,1,Property,0.93
LOAN000078,CUST01661,Home Loan,63.4,8.69,180,63140.6,2024-04-13,BR0018,Restructured,2,44,0,Property,1.92
LOAN000079,CUST05366,Business Loan,47.07,10.79,180,52880.56,2023-01-24,BR0042,Active,2,58,0,None,1.28
LOAN000080,CUST02382,Home Loan,88.12,10.62,84,149128.03,2024-05-31,BR0044,Closed,0,0,0,FD,1.47
LOAN000081,CUST02474,Personal Loan,3.29,11.3,240,3463.32,2022-07-21,BR0003,Active,0,0,0,Vehicle,0.53
LOAN000082,CUST05746,Education Loan,11.76,8.7,120,14706.81,2023-01-14,BR0011,Active,0,0,0,Property,1.23
LOAN000083,CUST06114,Home Loan,138.01,10.72,48,354820.35,2020-07-19,BR0024,Active,0,0,0,Property,1.22
LOAN000084,CUST03403,Personal Loan,5.0,12.82,180,6267.11,2023-11-02,BR0004,Active,0,0,0,Gold,2.27
LOAN000085,CUST04871,Business Loan,40.5,15.65,48,114053.46,2023-05-27,BR0050,NPA,3,114,1,Property,0.52
LOAN000086,CUST03190,Personal Loan,0.8,17.34,120,1407.66,2020-06-04,BR0013,Closed,0,0,0,Gold,2.33
LOAN000087,CUST02173,Personal Loan,9.67,8.05,240,8118.49,2023-12-25,BR0037,Active,2,38,0,Property,1.26
LOAN000088,CUST00715,Business Loan,17.85,16.1,240,24967.93,2021-12-24,BR0006,Active,0,0,0,FD,1.16
LOAN000089,CUST05690,Business Loan,44.72,10.75,48,115038.99,2022-12-16,BR0041,Active,0,0,0,Gold,1.45
LOAN000090,CUST08635,Education Loan,4.61,10.27,240,4531.53,2021-04-13,BR0018,Active,0,0,0,Vehicle,1.3
LOAN000091,CUST04381,Education Loan,14.63,16.24,12,132905.46,2020-02-10,BR0023,Restructured,0,0,0,Property,1.65
LOAN000092,CUST03367,Education Loan,8.17,14.93,120,13146.07,2023-08-24,BR0034,Active,0,0,0,Gold,0.88
LOAN000093,CUST03419,Personal Loan,9.95,8.17,36,31257.77,2022-03-29,BR0023,Active,1,35,0,None,1.72
LOAN000094,CUST03708,Auto Loan,4.79,16.22,48,13629.03,2024-05-14,BR0023,Active,0,0,0,FD,2.49
LOAN000095,CUST05656,Home Loan,33.9,9.75,84,55841.08,2023-10-18,BR0050,NPA,6,180,1,Vehicle,2.46
LOAN000096,CUST00845,Home Loan,42.67,8.1,12,371376.95,2022-06-21,BR0044,NPA,3,66,1,Gold,1.82
LOAN000097,CUST07104,Auto Loan,9.34,15.86,12,84680.76,2024-12-22,BR0039,Closed,0,0,0,Vehicle,0.85
LOAN000098,CUST00202,Gold Loan,1.95,12.71,84,3516.76,2021-12-11,BR0026,Active,1,31,0,Vehicle,1.72
LOAN000099,CUST09718,Home Loan,113.7,14.47,36,391200.18,2020-09-23,BR0021,Active,0,0,0,Vehicle,0.64
LOAN000100,CUST02820,Gold Loan,3.53,8.38,12,30768.97,2020-08-06,BR0022,Closed,0,0,0,Vehicle,1.53
LOAN000101,CUST02468,Business Loan,47.93,15.31,48,134147.17,2023-01-09,BR0039,Active,0,0,0,FD,1.21
LOAN000102,CUST07674,Education Loan,14.2,8.56,120,17651.57,2024-01-08,BR0046,Active,0,0,0,None,1.15
LOAN000103,CUST05913,Home Loan,107.35,15.05,24,520759.22,2022-07-04,BR0030,Restructured,0,0,0,Vehicle,2.36
LOAN000104,CUST09560,Education Loan,12.55,12.59,12,111851.92,2024-03-20,BR0034,Restructured,0,0,0,Property,2.31
LOAN000105,CUST00209,Gold Loan,4.31,17.12,84,8837.75,2021-11-30,BR0012,Restructured,0,0,0,FD,1.32
LOAN000106,CUST00595,Gold Loan,4.47,10.85,120,6119.53,2023-03-19,BR0033,NPA,3,60,1,FD,2.2
LOAN000107,CUST04541,Home Loan,50.95,17.94,36,184043.14,2022-01-02,BR0050,Restructured,0,0,0,FD,2.48
LOAN000108,CUST06067,Personal Loan,5.84,8.51,36,18438.15,2024-01-24,BR0006,Active,0,0,0,Vehicle,2.26
LOAN000109,CUST04030,Auto Loan,3.53,12.54,240,4020.53,2023-09-10,BR0017,Closed,0,0,0,Vehicle,1.35
LOAN000110,CUST03918,Gold Loan,6.76,14.15,84,12724.33,2021-10-26,BR0043,Active,0,0,0,FD,2.0
LOAN000111,CUST06268,Business Loan,46.36,12.93,120,69029.18,2023-11-24,BR0037,NPA,6,102,1,Vehicle,1.31
LOAN000112,CUST07493,Personal Loan,4.36,11.21,120,6057.85,2020-04-22,BR0003,Active,0,0,0,FD,1.36
LOAN000113,CUST08419,Business Loan,61.3,14.28,36,210343.48,2020-06-07,BR0030,Active,1,33,0,Property,1.08
LOAN000114,CUST01414,Home Loan,108.35,7.86,48,263802.56,2020-07-08,BR0036,Active,0,0,0,FD,1.23
LOAN000115,CUST00721,Home Loan,35.14,9.02,36,111776.97,2024-08-18,BR0019,NPA,3,84,1,FD,0.65
LOAN000116,CUST07839,Auto Loan,5.58,15.34,60,13374.58,2024-06-10,BR0021,Active,0,0,0,Property,1.29
LOAN000117,CUST05373,Education Loan,2.12,16.51,120,3618.95,2023-05-05,BR0041,Active,0,0,0,Vehicle,2.32
LOAN000118,CUST09624,Auto Loan,13.24,14.05,180,17676.76,2022-11-23,BR0010,Active,1,36,0,Vehicle,2.15
LOAN000119,CUST07703,Home Loan,32.04,12.3,60,71757.89,2023-07-16,BR0035,Closed,0,0,0,Vehicle,2.16
LOAN000120,CUST00013,Education Loan,10.76,14.63,180,14787.81,2024-07-13,BR0034,Restructured,0,0,0,Vehicle,1.14
LOAN000121,CUST06054,Personal Loan,9.86,7.66,24,44441.37,2022-06-02,BR0021,Active,0,0,0,Vehicle,1.61
LOAN000122,CUST01714,Business Loan,25.7,9.52,48,64591.01,2023-11-23,BR0004,Restructured,0,0,0,Gold,0.91
LOAN000123,CUST05244,Education Loan,14.49,18.11,180,23449.77,2023-03-22,BR0048,Active,1,17,0,None,1.16
LOAN000124,CUST01434,Business Loan,6.05,16.69,48,17360.42,2023-03-09,BR0003,Active,0,0,0,Property,1.18
LOAN000125,CUST02188,Auto Loan,15.29,17.15,180,23694.11,2021-08-30,BR0014,Active,0,0,0,Vehicle,2.27
LOAN000126,CUST09492,Home Loan,60.79,14.38,60,142648.15,2020-06-22,BR0029,Active,0,0,0,None,2.09
LOAN000127,CUST07358,Education Loan,7.94,13.64,84,14722.11,2024-07-02,BR0013,Active,0,0,0,FD,1.87
LOAN000128,CUST02935,Personal Loan,2.15,7.85,24,9709.17,2021-01-07,BR0043,Active,0,0,0,Vehicle,0.74
LOAN000129,CUST05000,Auto Loan,15.74,15.9,84,31173.31,2020-08-13,BR0004,Active,0,0,0,Property,0.59
LOAN000130,CUST09853,Home Loan,120.34,9.78,84,198413.37,2022-06-19,BR0010,Restructured,0,0,0,None,1.84
LOAN000131,CUST01965,Business Loan,14.62,17.47,36,52466.91,2024-05-04,BR0013,Restructured,0,0,0,Vehicle,0.78
LOAN000132,CUST09490,Education Loan,5.25,10.75,180,5884.98,2020-06-07,BR0017,Active,0,0,0,Property,1.42
LOAN000133,CUST07416,Personal Loan,1.19,8.21,180,1151.7,2021-10-24,BR0009,NPA,3,81,1,Vehicle,1.53
LOAN000134,CUST07197,Education Loan,13.27,11.47,180,15476.58,2022-02-19,BR0007,NPA,3,66,1,Gold,1.29
LOAN000135,CUST07390,Personal Loan,7.92,18.11,84,16697.23,2022-08-10,BR0028,Active,1,39,0,Property,0.63
LOAN000136,CUST09816,Home Loan,66.91,7.59,24,301366.17,2023-02-14,BR0013,Restructured,2,56,0,None,1.26
LOAN000137,CUST01856,Auto Loan,17.2,11.56,84,29959.47,2021-01-30,BR0006,Active,0,0,0,Vehicle,1.15
LOAN000138,CUST09354,Personal Loan,8.81,12.56,12,78506.77,2022-04-28,BR0005,Restructured,0,0,0,None,1.89
LOAN000139,CUST09696,Business Loan,43.1,16.41,36,152400.68,2022-10-09,BR0038,Restructured,0,0,0,FD,1.85
LOAN000140,CUST06360,Business Loan,52.58,10.84,48,135487.57,2023-05-10,BR0028,Active,0,0,0,Vehicle,1.42
LOAN000141,CUST07718,Business Loan,69.44,15.18,240,92362.75,2020-01-15,BR0029,Active,2,60,0,None,2.29
LOAN000142,CUST00999,Education Loan,2.98,16.18,60,7275.31,2024-07-12,BR0010,Active,0,0,0,None,1.34
LOAN000143,CUST05072,Personal Loan,1.39,13.04,24,6610.93,2023-01-18,BR0010,Active,0,0,0,None,0.8
LOAN000144,CUST06617,Auto Loan,16.03,16.59,12,145889.5,2020-04-15,BR0031,Active,0,0,0,None,1.58
LOAN000145,CUST08827,Business Loan,64.7,9.24,180,66549.98,2024-06-26,BR0014,Restructured,0,0,0,None,1.24
LOAN000146,CUST08653,Gold Loan,1.35,8.59,12,11780.3,2020-01-04,BR0034,Active,0,0,0,Vehicle,2.28
LOAN000147,CUST04294,Education Loan,5.35,14.02,120,8313.19,2024-07-26,BR0014,Active,0,0,0,None,1.46
LOAN000148,CUST06628,Auto Loan,11.25,14.35,12,101195.87,2021-08-06,BR0039,Active,1,37,0,Vehicle,2.25
LOAN000149,CUST00592,Personal Loan,5.91,14.41,48,16271.76,2021-04-05,BR0032,Active,0,0,0,None,0.82
LOAN000150,CUST09328,Home Loan,58.63,12.6,120,86163.09,2021-03-15,BR0029,Active,0,0,0,Gold,0.54
LOAN000151,CUST09539,Business Loan,16.7,13.91,84,31212.85,2023-09-01,BR0028,Restructured,2,78,0,Property,1.14
LOAN000152,CUST07128,Gold Loan,5.64,14.68,24,27260.8,2023-06-15,BR0016,Active,2,54,0,None,2.02
LOAN000153,CUST03284,Gold Loan,6.66,11.26,120,9272.44,2022-03-11,BR0022,Restructured,0,0,0,Gold,1.66
LOAN000154,CUST01857,Personal Loan,6.32,11.12,120,8748.79,2023-12-02,BR0034,Active,0,0,0,None,0.86
LOAN000155,CUST01618,Personal Loan,3.85,14.43,24,18563.26,2020-08-03,BR0046,Closed,0,0,0,FD,1.48
LOAN000156,CUST05291,Education Loan,13.69,15.15,60,32676.3,2020-12-15,BR0008,Restructured,0,0,0,Vehicle,1.72
LOAN000157,CUST04203,Business Loan,46.28,7.6,84,71214.17,2022-04-15,BR0008,Active,0,0,0,None,1.85
LOAN000158,CUST03957,Personal Loan,9.71,8.62,120,12101.42,2023-03-03,BR0004,Active,0,0,0,Gold,2.47
LOAN000159,CUST07844,Home Loan,73.56,11.75,84,128872.09,2022-02-12,BR0043,Active,0,0,0,Gold,2.34
LOAN000160,CUST01687,Business Loan,32.66,16.27,60,79892.07,2022-02-06,BR0050,Restructured,0,0,0,Vehicle,2.16
LOAN000161,CUST00756,Gold Loan,6.77,15.06,36,23488.32,2020-07-26,BR0037,Active,0,0,0,None,2.04
LOAN000162,CUST02875,Personal Loan,7.39,9.16,12,64681.49,2022-05-10,BR0038,Restructured,0,0,0,Property,2.23
LOAN000163,CUST01892,Auto Loan,11.28,11.24,120,15691.84,2023-09-21,BR0015,Active,0,0,0,Vehicle,1.37
LOAN000164,CUST02623,Gold Loan,2.48,9.75,60,5238.81,2024-05-27,BR0008,Closed,0,0,0,None,1.81
LOAN000165,CUST00327,Home Loan,72.31,15.27,84,140632.46,2022-02-17,BR0004,Active,0,0,0,None,1.0
LOAN000166,CUST03773,Auto Loan,12.52,10.88,24,58283.29,2023-06-20,BR0030,Restructured,0,0,0,None,1.77
LOAN000167,CUST04822,Personal Loan,9.24,11.41,180,10741.26,2023-10-10,BR0004,Closed,0,0,0,Gold,0.81
LOAN000168,CUST07997,Business Loan,11.44,8.67,36,36203.45,2020-12-05,BR0010,Closed,0,0,0,FD,0.99
LOAN000169,CUST02073,Home Loan,27.23,14.25,120,42689.32,2020-03-05,BR0040,NPA,6,108,1,Gold,0.71
LOAN000170,CUST04369,Auto Loan,7.63,8.54,24,34696.64,2021-01-01,BR0025,Closed,2,34,0,Vehicle,2.07
LOAN000171,CUST08465,Gold Loan,2.58,11.62,180,3033.64,2023-09-09,BR0036,Active,0,0,0,Gold,2.46
LOAN000172,CUST03668,Gold Loan,1.28,13.82,120,1973.58,2020-10-26,BR0047,Active,0,0,0,None,1.97
LOAN000173,CUST03181,Education Loan,4.22,8.11,36,13245.37,2020-04-24,BR0003,Active,0,0,0,FD,0.62
LOAN000174,CUST00455,Business Loan,17.36,8.96,24,79276.86,2022-11-27,BR0031,Restructured,0,0,0,FD,1.08
LOAN000175,CUST02849,Business Loan,5.08,13.98,12,45607.08,2024-08-24,BR0036,Active,0,0,0,FD,1.41
LOAN000176,CUST06959,Personal Loan,8.81,15.9,12,79892.2,2021-08-19,BR0014,Active,0,0,0,Vehicle,0.73
LOAN000177,CUST06974,Education Loan,3.89,12.35,180,4756.6,2022-01-24,BR0013,Closed,1,40,0,FD,1.0
LOAN000178,CUST00612,Business Loan,53.19,10.79,48,136930.52,2020-09-03,BR0048,NPA,6,204,1,Vehicle,1.91
LOAN000179,CUST01771,Personal Loan,2.59,14.78,180,3585.98,2024-07-14,BR0006,Active,2,32,0,Property,2.3
LOAN000180,CUST05900,Personal Loan,1.51,13.74,84,2808.1,2021-08-31,BR0012,NPA,4,120,1,None,1.78
LOAN000181,CUST06803,Auto Loan,6.38,9.85,24,29396.31,2024-07-18,BR0040,Active,0,0,0,FD,1.23
LOAN000182,CUST00912,Education Loan,4.23,17.32,60,10585.56,2020-01-07,BR0032,NPA,4,88,1,FD,2.29
LOAN000183,CUST01236,Personal Loan,5.85,16.84,84,11900.92,2023-08-02,BR0045,Active,0,0,0,None,1.18
LOAN000184,CUST07064,Personal Loan,4.09,12.37,36,13657.04,2020-12-28,BR0031,Restructured,1,25,0,FD,0.93
LOAN000185,CUST06823,Personal Loan,9.03,9.21,12,79056.65,2023-04-04,BR0038,NPA,4,124,1,Vehicle,1.86
LOAN000186,CUST05549,Auto Loan,11.16,14.44,12,100433.61,2024-12-23,BR0038,Closed,0,0,0,FD,1.41
LOAN000187,CUST05356,Personal Loan,5.49,9.8,240,5225.43,2023-01-22,BR0035,Active,0,0,0,Vehicle,2.41
LOAN000188,CUST07843,Gold Loan,6.45,17.61,24,32079.63,2021-09-28,BR0044,Active,1,23,0,None,0.94
LOAN000189,CUST06096,Home Loan,72.94,14.92,180,101686.51,2021-07-29,BR0048,Active,0,0,0,Gold,2.16
LOAN000190,CUST07498,Home Loan,78.31,14.26,12,704081.28,2021-10-27,BR0011,Active,0,0,0,None,2.42
LOAN000191,CUST08901,Home Loan,78.45,17.43,180,123133.67,2023-06-24,BR0023,Active,0,0,0,Vehicle,0.86
LOAN000192,CUST07181,Gold Loan,0.52,8.69,24,2368.22,2024-05-24,BR0025,Restructured,0,0,0,Gold,1.99
LOAN000193,CUST04732,Education Loan,12.84,10.92,120,17629.01,2022-02-15,BR0021,Active,0,0,0,None,1.82
LOAN000194,CUST04953,Education Loan,3.84,12.94,60,8725.39,2023-01-08,BR0047,Closed,0,0,0,Property,2.41
LOAN000195,CUST04120,Home Loan,94.84,11.86,36,314370.73,2023-08-02,BR0034,Closed,0,0,0,None,1.8
LOAN000196,CUST02109,Gold Loan,3.28,10.94,240,3372.19,2021-11-04,BR0023,Active,0,0,0,FD,0.63
LOAN000197,CUST06750,Home Loan,38.72,17.24,84,79665.4,2020-02-27,BR0047,Restructured,0,0,0,FD,1.22
LOAN000198,CUST09294,Education Loan,12.73,10.13,240,12394.57,2021-01-30,BR0018,Active,0,0,0,Vehicle,1.07
LOAN000199,CUST01122,Home Loan,65.59,17.48,240,98608.78,2022-01-16,BR0039,NPA,3,114,1,Vehicle,0.9
LOAN000200,CUST00785,Personal Loan,9.62,17.92,180,15436.91,2020-08-29,BR0015,Active,0,0,0,Gold,2.26
LOAN000201,CUST01253,Auto Loan,17.48,12.56,180,21612.79,2020-02-29,BR0038,NPA,3,45,1,Vehicle,1.9
LOAN000202,CUST00811,Home Loan,66.3,16.05,24,324783.84,2023-07-17,BR0034,Closed,0,0,0,Property,1.09
LOAN000203,CUST09463,Gold Loan,5.58,7.73,36,17416.27,2020-02-02,BR0019,Active,0,0,0,Vehicle,1.35
LOAN000204,CUST03366,Business Loan,23.4,11.88,36,77587.44,2022-11-22,BR0042,Closed,0,0,0,Gold,2.0
LOAN000205,CUST00172,Business Loan,49.66,12.96,48,133126.78,2023-11-16,BR0032,Restructured,1,18,0,Vehicle,2.2
LOAN000206,CUST03331,Education Loan,5.62,12.34,36,18757.84,2020-09-06,BR0042,Closed,0,0,0,Vehicle,1.62
LOAN000207,CUST01538,Auto Loan,5.12,15.3,12,46284.77,2024-08-19,BR0027,NPA,2,66,1,Gold,0.93
LOAN000208,CUST07874,Home Loan,106.66,18.21,180,173381.48,2020-02-29,BR0024,Active,0,0,0,Property,2.05
LOAN000209,CUST00086,Home Loan,105.87,13.54,84,195719.98,2023-04-10,BR0025,Restructured,0,0,0,Vehicle,2.5
LOAN000210,CUST02678,Business Loan,35.54,12.07,84,62870.93,2023-02-11,BR0025,Active,0,0,0,None,1.22
LOAN000211,CUST03299,Education Loan,9.05,17.0,84,18494.4,2021-04-05,BR0043,Closed,0,0,0,Property,1.41
LOAN000212,CUST05218,Personal Loan,8.35,10.01,180,8978.06,2021-05-13,BR0037,Active,2,40,0,FD,1.77
LOAN000213,CUST08621,Gold Loan,0.73,15.11,60,1740.88,2022-08-05,BR0045,Restructured,0,0,0,Vehicle,0.55
LOAN000214,CUST03813,Gold Loan,5.67,8.66,12,49495.63,2024-05-17,BR0047,Active,0,0,0,Gold,1.02
LOAN000215,CUST00570,Gold Loan,2.86,14.88,12,25797.69,2024-07-13,BR0046,Active,0,0,0,Gold,1.42
LOAN000216,CUST06226,Gold Loan,1.89,10.29,84,3166.02,2022-03-14,BR0009,NPA,6,228,1,FD,2.22
