month,branch_id,target_collection_lakh,actual_collection_lakh,collection_efficiency_pct,npa_amount_lakh,npa_pct,new_loans_disbursed,loan_disbursement_amount_lakh
2023-12,BR0002,244.92,197.21,80.52,17.05,6.96,46,102.32
2024-01,BR0002,224.41,159.4,71.03,21.93,9.77,34,134.06
2024-02,BR0002,231.14,170.07,73.58,20.99,9.08,78,100.73
2024-03,BR0002,485.65,469.24,96.62,44.45,9.15,52,270.12
2024-04,BR0002,304.28,227.54,74.78,34.51,11.34,40,227.93
2024-05,BR0002,276.2,272.39,98.62,26.85,9.72,19,92.06
2024-06,BR0002,229.81,214.76,93.45,31.34,13.64,43,140.7
2024-07,BR0002,161.13,130.48,80.98,16.03,9.95,34,397.6
2024-08,BR0002,127.56,98.07,76.88,17.82,13.97,34,344.11
2024-09,BR0002,156.2,115.76,74.11,15.09,9.66,68,253.14
2024-10,BR0002,404.99,290.42,71.71,11.29,2.79,53,201.06
2024-11,BR0002,103.65,84.29,81.32,11.83,11.41,30,284.22
2024-12,BR0002,428.31,371.64,86.77,49.17,11.48,67,327.84
2020-01,BR0003,259.49,237.74,91.62,30.1,11.6,11,55.41
2020-02,BR0003,318.86,278.91,87.47,43.47,13.63,66,126.04
2020-03,BR0003,253.1,187.45,74.06,18.28,7.22,63,340.45
2020-04,BR0003,283.08,273.51,96.62,21.0,7.42,18,79.22
2020-05,BR0003,156.59,134.28,85.75,15.67,10.01,60,130.48
2020-06,BR0003,73.16,64.33,87.93,8.15,11.14,67,43.01
2020-07,BR0003,433.09,377.52,87.17,14.26,3.29,34,53.59
2020-08,BR0003,271.77,232.34,85.49,35.68,13.13,20,57.63
2020-09,BR0003,437.93,373.47,85.28,10.7,2.44,11,21.18
2020-10,BR0003,450.81,388.64,86.21,53.67,11.91,22,113.77
2020-11,BR0003,159.48,120.14,75.33,11.19,7.02,27,388.98
2020-12,BR0003,346.32,319.65,92.3,48.24,13.93,20,47.88
2021-01,BR0003,133.63,116.08,86.87,16.69,12.49,18,123.96
2021-02,BR0003,105.99,86.02,81.16,9.32,8.79,64,186.42
2021-03,BR0003,369.27,293.2,79.4,16.44,4.45,58,127.68
2021-04,BR0003,314.01,230.58,73.43,16.99,5.41,69,220.15
2021-05,BR0003,290.06,245.65,84.69,29.3,10.1,58,152.74
2021-06,BR0003,113.05,101.18,89.5,12.35,10.92,46,71.09
2021-07,BR0003,254.91,180.25,70.71,18.55,7.28,78,134.97
2021-08,BR0003,490.8,429.4,87.49,68.66,13.99,69,370.39
2021-09,BR0003,304.32,290.08,95.32,41.05,13.49,7,202.61
2021-10,BR0003,425.47,317.32,74.58,34.6,8.13,22,27.06
2021-11,BR0003,55.69,40.63,72.96,2.59,4.65,15,379.86
2021-12,BR0003,128.93,96.49,74.84,14.57,11.3,41,173.75
2022-01,BR0003,478.0,482.35,100.91,55.52,11.62,30,238.7
2022-02,BR0003,162.46,137.86,84.86,15.07,9.28,57,315.75
2022-03,BR0003,380.72,358.87,94.26,21.07,5.53,34,65.0
2022-04,BR0003,284.26,281.67,99.09,18.63,6.55,66,121.68
2022-05,BR0003,261.48,206.31,78.9,38.56,14.75,61,114.83
2022-06,BR0003,58.0,43.02,74.18,2.27,3.91,21,318.89
2022-07,BR0003,232.45,168.69,72.57,17.63,7.58,47,124.04
2022-08,BR0003,397.95,299.26,75.2,27.04,6.79,63,343.37
2022-09,BR0003,135.13,117.56,87.0,15.07,11.15,61,329.76
2022-10,BR0003,314.24,309.68,98.55,42.54,13.54,10,340.92
2022-11,BR0003,193.15,194.95,100.93,8.28,4.29,29,377.52
2022-12,BR0003,180.06,151.77,84.29,24.8,13.77,64,255.74
2023-01,BR0003,359.52,283.59,78.88,9.93,2.76,73,393.89
2023-02,BR0003,152.45,145.47,95.42,4.62,3.03,59,139.14
2023-03,BR0003,124.17,90.11,72.57,11.92,9.6,20,146.54
2023-04,BR0003,122.67,93.76,76.43,5.06,4.12,17,143.32
2023-05,BR0003,403.26,300.79,74.59,58.62,14.54,64,58.63
2023-06,BR0003,337.11,322.78,95.75,16.92,5.02,60,318.81
2023-07,BR0003,103.4,90.85,87.86,6.96,6.73,32,47.97
2023-08,BR0003,150.34,142.66,94.89,5.58,3.71,24,220.4
2023-09,BR0003,141.91,121.84,85.86,16.39,11.55,25,159.72
2023-10,BR0003,118.27,114.23,96.58,3.98,3.37,49,318.55
2023-11,BR0003,274.56,200.35,72.97,27.21,9.91,62,393.5
2023-12,BR0003,483.64,491.04,101.53,33.49,6.92,72,32.62
2024-01,BR0003,234.88,171.89,73.18,14.79,6.3,28,314.6
2024-02,BR0003,54.27,49.15,90.57,3.23,5.95,60,127.52
2024-03,BR0003,58.6,42.07,71.79,6.16,10.51,78,66.36
2024-04,BR0003,391.22,337.66,86.31,33.84,8.65,7,376.36
2024-05,BR0003,105.52,89.97,85.26,13.1,12.41,51,321.32
2024-06,BR0003,259.67,244.92,94.32,10.56,4.07,38,192.54
2024-07,BR0003,239.19,174.06,72.77,31.32,13.09,14,171.01
2024-08,BR0003,390.87,355.77,91.02,16.35,4.18,39,128.16
2024-09,BR0003,248.11,180.18,72.62,29.6,11.93,41,74.2
2024-10,BR0003,205.74,183.29,89.09,16.92,8.22,20,349.9
2024-11,BR0003,198.99,170.14,85.5,26.45,13.29,21,45.51
2024-12,BR0003,338.9,288.98,85.27,32.01,9.45,31,192.55
2020-01,BR0004,312.06,260.38,83.44,8.27,2.65,38,274.05
2020-02,BR0004,450.08,418.35,92.95,43.27,9.61,25,392.04
2020-03,BR0004,275.16,217.4,79.01,27.27,9.91,75,256.05
2020-04,BR0004,189.29,150.73,79.63,5.08,2.68,52,301.57
2020-05,BR0004,437.48,366.65,83.81,55.7,12.73,69,44.77
2020-06,BR0004,466.09,441.01,94.62,33.67,7.22,39,284.8
2020-07,BR0004,98.62,85.34,86.53,2.62,2.66,59,175.1
2020-08,BR0004,333.72,247.12,74.05,28.61,8.57,48,389.96
2020-09,BR0004,180.55,126.62,70.13,9.52,5.27,65,64.94
2020-10,BR0004,233.27,174.46,74.79,26.2,11.23,69,203.0
2020-11,BR0004,354.41,302.52,85.36,20.28,5.72,69,55.6
2020-12,BR0004,257.56,247.33,96.03,9.64,3.74,49,352.44
2021-01,BR0004,347.04,305.57,88.05,25.34,7.3,14,58.59
2021-02,BR0004,190.14,165.23,86.9,19.53,10.27,25,263.04
2021-03,BR0004,144.78,140.26,96.88,3.35,2.31,35,347.63
2021-04,BR0004,161.62,123.3,76.29,13.55,8.38,49,253.22
2021-05,BR0004,171.46,135.28,78.9,21.75,12.69,53,343.35
2021-06,BR0004,85.12,61.36,72.09,7.78,9.14,14,110.45
2021-07,BR0004,274.98,201.18,73.16,17.99,6.54,19,191.69
2021-08,BR0004,113.92,88.62,77.79,5.8,5.09,58,366.43
2021-09,BR0004,272.41,259.72,95.34,22.43,8.23,24,129.38
2021-10,BR0004,358.2,330.83,92.36,18.55,5.18,14,166.7
2021-11,BR0004,55.68,46.82,84.08,5.26,9.45,8,57.95
2021-12,BR0004,132.96,111.83,84.11,13.92,10.47,12,212.78
2022-01,BR0004,207.78,167.51,80.62,13.68,6.58,68,244.24
2022-02,BR0004,457.23,433.68,94.85,57.73,12.63,47,225.84
2022-03,BR0004,172.89,139.09,80.45,17.19,9.94,22,238.16
2022-04,BR0004,443.24,432.11,97.49,20.42,4.61,48,231.47
2022-05,BR0004,98.96,97.15,98.17,2.5,2.53,77,196.51
2022-06,BR0004,58.34,55.26,94.72,4.67,8.0,26,366.23
2022-07,BR0004,216.52,171.38,79.15,30.15,13.92,46,106.48
2022-08,BR0004,57.16,50.42,88.21,2.14,3.74,67,239.45
2022-09,BR0004,433.58,346.26,79.86,41.79,9.64,14,69.62
2022-10,BR0004,397.06,387.65,97.63,33.62,8.47,28,376.16
2022-11,BR0004,446.93,381.05,85.26,41.43,9.27,6,95.99
2022-12,BR0004,165.71,133.25,80.41,9.06,5.47,30,28.3
2023-01,BR0004,138.32,103.56,74.87,9.94,7.19,66,387.08
2023-02,BR0004,72.74,63.63,87.48,8.76,12.04,23,346.86
2023-03,BR0004,212.38,214.25,100.88,23.69,11.15,27,151.4
2023-04,BR0004,176.17,172.75,98.06,5.62,3.19,44,382.47
2023-05,BR0004,323.71,295.22,91.2,33.09,10.22,10,139.37
2023-06,BR0004,458.84,403.14,87.86,52.94,11.54,40,279.62
2023-07,BR0004,421.93,378.22,89.64,56.48,13.39,60,146.33
2023-08,BR0004,107.87,81.01,75.1,6.31,5.85,36,337.74
2023-09,BR0004,448.66,344.21,76.72,39.77,8.86,32,343.68
2023-10,BR0004,106.19,93.66,88.2,7.88,7.42,57,285.68
2023-11,BR0004,263.97,246.47,93.37,39.33,14.9,36,223.57
2023-12,BR0004,405.51,324.41,80.0,35.17,8.67,19,341.08
2024-01,BR0004,84.69,68.71,81.13,9.1,10.75,75,91.93
2024-02,BR0004,417.44,370.14,88.67,40.11,9.61,37,92.42
2024-03,BR0004,430.78,436.04,101.22,38.16,8.86,70,93.01
2024-04,BR0004,367.91,263.24,71.55,17.72,4.82,42,82.54
2024-05,BR0004,101.63,92.53,91.05,13.29,13.08,10,102.63
2024-06,BR0004,219.05,221.02,100.9,11.32,5.17,76,380.06
2024-07,BR0004,415.32,337.95,81.37,56.57,13.62,34,157.12
2024-08,BR0004,254.06,227.33,89.48,28.04,11.04,75,366.91
2024-09,BR0004,471.01,382.84,81.28,16.28,3.46,72,51.33
2024-10,BR0004,420.68,365.44,86.87,18.29,4.35,39,154.49
2024-11,BR0004,226.7,170.82,75.35,16.27,7.18,20,388.62
2024-12,BR0004,93.6,77.56,82.86,4.16,4.44,53,224.8
2020-01,BR0005,438.6,376.27,85.79,53.24,12.14,61,362.35
2020-02,BR0005,164.92,138.29,83.85,23.91,14.5,70,319.86
2020-03,BR0005,421.88,404.46,95.87,42.38,10.05,47,275.05
2020-04,BR0005,93.42,83.43,89.31,12.34,13.21,58,117.64
2020-05,BR0005,320.72,293.39,91.48,20.54,6.4,15,272.23
2020-06,BR0005,233.4,220.52,94.48,25.86,11.08,41,165.46
2020-07,BR0005,135.14,128.25,94.9,2.99,2.21,70,228.33
2020-08,BR0005,336.32,284.19,84.5,38.6,11.48,6,222.69
2020-09,BR0005,431.32,424.38,98.39,33.87,7.85,45,223.18
2020-10,BR0005,59.93,60.73,101.34,1.47,2.45,30,139.55
2020-11,BR0005,297.1,276.54,93.08,9.98,3.36,20,375.7
2020-12,BR0005,61.37,62.22,101.39,1.88,3.06,35,272.35
2021-01,BR0005,97.37,88.58,90.97,8.16,8.38,54,215.65
2021-02,BR0005,194.85,181.91,93.36,28.8,14.78,63,113.62
2021-03,BR0005,459.61,322.74,70.22,20.53,4.47,78,373.16
2021-04,BR0005,81.13,82.73,101.97,9.72,11.98,61,163.82
2021-05,BR0005,489.82,479.29,97.85,12.17,2.48,68,200.68
2021-06,BR0005,435.51,419.18,96.25,41.74,9.58,54,160.06
2021-07,BR0005,140.53,140.97,100.31,8.24,5.86,60,110.81
2021-08,BR0005,224.05,213.09,95.11,28.85,12.88,57,348.61
2021-09,BR0005,55.95,41.02,73.31,4.34,7.76,57,323.76
2021-10,BR0005,443.95,411.67,92.73,13.42,3.02,34,332.08
2021-11,BR0005,290.77,264.43,90.94,36.97,12.71,67,120.18
2021-12,BR0005,138.62,128.32,92.57,19.67,14.19,7,85.21
2022-01,BR0005,237.91,200.96,84.47,20.31,8.54,38,341.08
2022-02,BR0005,73.05,61.44,84.1,8.34,11.42,43,189.24
2022-03,BR0005,426.98,325.19,76.16,15.73,3.68,77,37.68
2022-04,BR0005,119.46,105.93,88.67,16.4,13.73,71,154.07
2022-05,BR0005,243.39,176.51,72.52,13.13,5.39,64,271.72
2022-06,BR0005,377.37,310.61,82.31,17.99,4.77,30,379.63
2022-07,BR0005,394.71,280.52,71.07,29.02,7.35,66,291.69
2022-08,BR0005,371.79,275.31,74.05,42.79,11.51,10,20.46
2022-09,BR0005,325.76,250.18,76.8,14.53,4.46,24,174.9
2022-10,BR0005,197.9,141.93,71.72,18.04,9.12,31,173.8
2022-11,BR0005,480.02,415.55,86.57,12.15,2.53,27,137.22
2022-12,BR0005,284.41,278.75,98.01,10.8,3.8,41,214.38
2023-01,BR0005,354.03,331.66,93.68,32.41,9.15,37,344.93
2023-02,BR0005,180.23,158.94,88.19,20.63,11.45,73,28.15
2023-03,BR0005,376.62,372.93,99.02,50.75,13.48,54,391.83
2023-04,BR0005,366.4,268.75,73.35,24.45,6.67,71,266.83
2023-05,BR0005,70.42,71.46,101.48,8.2,11.64,65,307.47
2023-06,BR0005,302.28,295.3,97.69,7.94,2.63,46,324.17
2023-07,BR0005,180.38,135.65,75.2,7.22,4.0,11,369.12
2023-08,BR0005,456.6,413.91,90.65,31.56,6.91,53,163.24
2023-09,BR0005,435.45,382.72,87.89,44.91,10.31,47,335.5
2023-10,BR0005,479.36,346.86,72.36,58.49,12.2,14,81.65
2023-11,BR0005,139.21,136.91,98.35,12.73,9.14,39,211.13
2023-12,BR0005,437.88,315.4,72.03,10.52,2.4,29,317.48
2024-01,BR0005,280.44,270.37,96.41,36.42,12.99,26,247.89
2024-02,BR0005,97.72,87.96,90.01,7.45,7.62,8,260.04
2024-03,BR0005,141.55,122.75,86.72,13.62,9.62,50,251.68
2024-04,BR0005,118.27,83.61,70.69,7.69,6.5,13,383.73
2024-05,BR0005,478.34,442.75,92.56,51.47,10.76,55,157.51
2024-06,BR0005,422.79,318.57,75.35,26.6,6.29,47,372.16
2024-07,BR0005,106.41,107.68,101.19,4.58,4.3,23,267.09
2024-08,BR0005,181.74,179.63,98.84,21.47,11.81,22,158.61
2024-09,BR0005,56.46,54.98,97.38,2.16,3.83,30,153.16
2024-10,BR0005,412.44,380.85,92.34,17.58,4.26,53,162.62
2024-11,BR0005,172.29,136.92,79.47,7.55,4.38,57,31.87
2024-12,BR0005,129.41,123.59,95.5,15.12,11.68,25,94.24
2020-01,BR0006,324.69,260.79,80.32,8.47,2.61,52,175.05
2020-02,BR0006,314.45,224.23,71.31,11.71,3.72,67,364.57
2020-03,BR0006,269.86,265.46,98.37,33.39,12.37,76,116.67
2020-04,BR0006,132.12,117.88,89.22,3.26,2.47,15,233.42
2020-05,BR0006,146.06,142.28,97.41,15.82,10.83,76,231.77
2020-06,BR0006,301.87,288.44,95.55,41.25,13.66,5,146.01
2020-07,BR0006,319.08,318.6,99.85,6.71,2.1,59,188.14
2020-08,BR0006,126.0,89.03,70.66,11.05,8.77,31,235.36
2020-09,BR0006,246.23,245.22,99.59,5.11,2.08,11,22.5
2020-10,BR0006,247.66,173.46,70.04,18.65,7.53,10,54.27
2020-11,BR0006,300.85,260.51,86.59,16.53,5.49,10,105.46
2020-12,BR0006,457.43,442.06,96.64,11.87,2.59,51,72.35
2021-01,BR0006,420.96,303.51,72.1,51.0,12.12,35,22.48
2021-02,BR0006,197.25,177.39,89.93,8.42,4.27,54,39.89
2021-03,BR0006,50.86,37.65,74.03,3.91,7.69,29,36.17
2021-04,BR0006,180.08,151.11,83.91,12.09,6.71,40,36.88
2021-05,BR0006,82.53,69.17,83.81,5.02,6.08,79,197.18
2021-06,BR0006,105.03,92.47,88.04,14.27,13.59,48,156.95
2021-07,BR0006,151.77,135.12,89.03,14.11,9.3,8,150.73
2021-08,BR0006,451.18,415.76,92.15,27.2,6.03,26,352.6
2021-09,BR0006,441.4,433.19,98.14,48.26,10.93,58,47.63
2021-10,BR0006,209.98,198.03,94.31,5.33,2.54,13,374.13
2021-11,BR0006,299.07,290.94,97.28,25.66,8.58,23,220.47
2021-12,BR0006,495.9,357.79,72.15,39.28,7.92,40,392.8
2022-01,BR0006,154.09,119.79,77.74,22.33,14.49,39,55.33
2022-02,BR0006,181.76,162.33,89.31,5.91,3.25,66,219.48
2022-03,BR0006,477.39,444.31,93.07,39.74,8.32,41,248.14
2022-04,BR0006,430.85,415.34,96.4,38.49,8.93,23,41.86
2022-05,BR0006,74.32,75.66,101.8,9.12,12.27,68,140.08
2022-06,BR0006,277.66,237.43,85.51,16.33,5.88,64,89.97
2022-07,BR0006,179.23,133.96,74.74,11.2,6.25,39,59.26
2022-08,BR0006,479.09,475.45,99.24,29.14,6.08,9,245.31
2022-09,BR0006,420.65,418.72,99.54,59.61,14.17,47,177.71
2022-10,BR0006,131.96,116.26,88.1,8.74,6.62,31,306.94
2022-11,BR0006,132.82,104.17,78.43,14.93,11.24,57,283.62
2022-12,BR0006,164.43,130.51,79.37,20.33,12.36,72,224.03
2023-01,BR0006,58.62,57.97,98.89,6.36,10.85,76,39.17
2023-02,BR0006,294.05,220.48,74.98,19.2,6.53,42,122.81
2023-03,BR0006,349.87,330.77,94.54,31.97,9.14,67,268.38
2023-04,BR0006,297.14,283.35,95.36,44.24,14.89,33,22.45
2023-05,BR0006,300.11,287.99,95.96,17.16,5.72,45,187.92
2023-06,BR0006,177.4,128.6,72.49,24.84,14.0,8,130.31
2023-07,BR0006,299.94,266.53,88.86,13.06,4.35,9,186.06
2023-08,BR0006,423.4,328.18,77.51,54.53,12.88,41,106.23
2023-09,BR0006,340.23,277.22,81.48,36.42,10.7,10,148.74
2023-10,BR0006,212.76,213.42,100.31,6.09,2.86,21,82.16
2023-11,BR0006,418.4,402.08,96.1,13.98,3.34,70,304.5
2023-12,BR0006,469.52,464.4,98.91,38.83,8.27,38,380.77
2024-01,BR0006,153.17,123.78,80.81,15.04,9.82,28,253.15
2024-02,BR0006,173.52,139.84,80.59,14.88,8.58,21,256.99
2024-03,BR0006,443.91,380.34,85.68,12.28,2.77,15,213.67
2024-04,BR0006,466.33,333.71,71.56,10.89,2.34,50,290.34
2024-05,BR0006,270.96,248.93,91.87,31.01,11.44,7,362.21
2024-06,BR0006,149.53,120.72,80.73,21.5,14.38,55,73.02
2024-07,BR0006,408.08,329.93,80.85,52.61,12.89,25,345.23
2024-08,BR0006,153.19,124.96,81.57,7.03,4.59,62,117.62
2024-09,BR0006,231.8,176.47,76.13,6.43,2.77,41,118.27
2024-10,BR0006,439.48,400.1,91.04,25.42,5.78,53,175.23
2024-11,BR0006,377.0,270.35,71.71,42.98,11.4,59,275.91
2024-12,BR0006,277.43,271.19,97.75,31.36,11.3,65,203.33
2020-01,BR0007,344.93,287.26,83.28,25.44,7.38,17,324.92
2020-02,BR0007,88.58,79.23,89.45,6.15,6.94,5,111.5
2020-03,BR0007,369.13,368.98,99.96,40.05,10.85,27,128.83
2020-04,BR0007,460.57,388.95,84.45,42.41,9.21,21,182.6
2020-05,BR0007,290.77,266.72,91.73,41.78,14.37,63,94.08
2020-06,BR0007,57.23,46.88,81.91,1.65,2.88,65,355.13
2020-07,BR0007,202.19,153.36,75.85,26.23,12.97,45,155.22
2020-08,BR0007,257.66,201.77,78.31,8.06,3.13,72,321.03
2020-09,BR0007,144.71,134.54,92.97,20.5,14.17,32,299.63
2020-10,BR0007,494.9,419.77,84.82,56.47,11.41,5,334.54
2020-11,BR0007,239.14,223.62,93.51,27.96,11.69,66,361.49
2020-12,BR0007,61.6,46.5,75.48,5.46,8.86,14,52.07
2021-01,BR0007,478.9,395.38,82.56,34.76,7.26,75,98.63
2021-02,BR0007,279.16,231.73,83.01,39.1,14.01,59,32.47
2021-03,BR0007,95.28,92.24,96.81,3.75,3.94,66,122.13
2021-04,BR0007,130.78,126.06,96.39,12.82,9.8,57,274.81
2021-05,BR0007,414.08,314.25,75.89,54.29,13.11,69,186.76
2021-06,BR0007,264.12,255.48,96.73,23.71,8.98,36,129.9
2021-07,BR0007,460.58,371.87,80.74,42.78,9.29,42,357.16
2021-08,BR0007,263.17,220.04,83.61,32.81,12.47,52,361.28
2021-09,BR0007,458.95,391.25,85.25,25.64,5.59,9,155.93
2021-10,BR0007,459.67,412.88,89.82,21.87,4.76,38,215.72
2021-11,BR0007,150.96,138.01,91.42,17.55,11.63,35,69.47
2021-12,BR0007,101.9,76.22,74.8,15.19,14.91,8,118.32
